baseline_commit,old_file,old_file_lines,definition,start_line,end_line,definition_lines
4c6d7b6,app/agent_runtime/loop.py,3170,_bounded_tool_result,3061,3098,38
4c6d7b6,app/agent_runtime/loop.py,3170,_fit_turn_tool_messages,3113,3153,41
4c6d7b6,app/agent_runtime/mcp_provider.py,264,McpToolProvider.__init__,30,54,25
4c6d7b6,app/agent_runtime/mcp_provider.py,264,McpToolProvider.register,56,80,25
4c6d7b6,app/agent_runtime/mcp_provider.py,264,McpToolProvider._search,82,103,22
4c6d7b6,app/agent_runtime/mcp_provider.py,264,McpToolProvider._ensure_discovered,105,153,49
4c6d7b6,app/agent_runtime/mcp_provider.py,264,McpToolProvider._register_remote_tool,155,202,48
4c6d7b6,app/agent_runtime/mcp_provider.py,264,McpToolProvider._model_name,220,239,20
4c6d7b6,app/agent_runtime/memory.py,391,MemoryLoader.load,56,93,38
4c6d7b6,app/agent_runtime/memory.py,391,SkillLoader.load,107,143,37
4c6d7b6,app/agent_runtime/memory.py,391,compact_messages,167,259,93
4c6d7b6,app/agent_runtime/memory.py,391,_prune_stale_tool_outputs,262,291,30
4c6d7b6,app/agent_runtime/memory.py,391,_prune_duplicate_tool_results,304,336,33
4c6d7b6,app/agent_runtime/memory.py,391,_tail_cut_by_tokens,339,362,24
4c6d7b6,app/agent_runtime/memory.py,391,_compaction_source_line,365,391,27
4c6d7b6,app/agent_runtime/memory_tools.py,101,register_history_search,18,101,84
4c6d7b6,app/agent_runtime/model_client.py,1832,LoopModelClient.__init__,220,242,23
4c6d7b6,app/agent_runtime/model_client.py,1832,LoopModelClient.escalate_output_tokens,244,263,20
4c6d7b6,app/agent_runtime/model_client.py,1832,LoopModelClient.generate_turn,279,300,22
4c6d7b6,app/agent_runtime/model_client.py,1832,LoopModelClient.stream_turn,302,444,143
4c6d7b6,app/agent_runtime/model_client.py,1832,LoopModelClient.parse_tool_calls,454,517,64
4c6d7b6,app/agent_runtime/model_client.py,1832,LoopModelClient._reserve_call_id,519,540,22
4c6d7b6,app/agent_runtime/model_client.py,1832,AiClientBackend.generate,579,634,56
4c6d7b6,app/agent_runtime/model_client.py,1832,_normalize_call,647,683,37
4c6d7b6,app/agent_runtime/model_client.py,1832,_reasoning_from_payload,686,711,26
4c6d7b6,app/agent_runtime/model_client.py,1832,AiClientMessagesBackend.generate,773,926,154
4c6d7b6,app/agent_runtime/model_client.py,1832,_response_hit_token_limit,929,949,21
4c6d7b6,app/agent_runtime/model_client.py,1832,_message_entry,967,1023,57
4c6d7b6,app/agent_runtime/model_client.py,1832,_merge_messages_entries,1041,1064,24
4c6d7b6,app/agent_runtime/model_client.py,1832,_messages_payload,1085,1163,79
4c6d7b6,app/agent_runtime/model_client.py,1832,_convert_tools,1166,1198,33
4c6d7b6,app/agent_runtime/model_client.py,1832,_responses_input,1201,1228,28
4c6d7b6,app/agent_runtime/model_client.py,1832,StreamingMessagesBackend._post_streaming,1257,1309,53
4c6d7b6,app/agent_runtime/model_client.py,1832,StreamingMessagesBackend.generate,1311,1465,155
4c6d7b6,app/agent_runtime/model_client.py,1832,StreamingMessagesBackend._fallback_generate,1467,1487,21
4c6d7b6,app/agent_runtime/model_client.py,1832,_provider_failure_is_retryable,1490,1510,21
4c6d7b6,app/agent_runtime/model_client.py,1832,_parse_sse,1519,1611,93
4c6d7b6,app/agent_runtime/model_client.py,1832,_parse_responses_sse,1614,1697,84
4c6d7b6,app/agent_runtime/model_client.py,1832,_parse_messages_sse,1700,1813,114
4c6d7b6,app/agent_runtime/model_profiles.py,100,,,,
4c6d7b6,app/agent_runtime/next_prompt.py,99,_clean_suggestion,52,72,21
4c6d7b6,app/agent_runtime/next_prompt.py,99,suggest_next_prompt,75,99,25
4c6d7b6,app/agent_runtime/perception_tools.py,472,PerceptionTools.read_around,88,112,25
4c6d7b6,app/agent_runtime/perception_tools.py,472,PerceptionTools.dump_subtree,114,138,25
4c6d7b6,app/agent_runtime/perception_tools.py,472,PerceptionTools.find_in_window,140,166,27
4c6d7b6,app/agent_runtime/perception_tools.py,472,PerceptionTools.list_windows,168,187,20
4c6d7b6,app/agent_runtime/perception_tools.py,472,PerceptionTools.locate_chat_file,189,248,60
4c6d7b6,app/agent_runtime/perception_tools.py,472,PerceptionTools.register_all,271,408,138
4c6d7b6,app/agent_runtime/perception_tools.py,472,_serialize_tree,437,472,36
4c6d7b6,app/agent_runtime/permission_decisions.py,97,PermissionDecisions.allows_call,47,82,36
4c6d7b6,app/agent_runtime/permission_modes.py,167,PermissionDecisionResult.feedback,97,130,34
4c6d7b6,app/agent_runtime/permission_modes.py,167,_bash_permission_prefix,136,157,22
4c6d7b6,app/agent_runtime/permission_presets.py,136,preset_select,115,136,22
4c6d7b6,app/agent_runtime/replay_cleanup.py,194,strip_interrupted_tool_tails,96,141,46
4c6d7b6,app/agent_runtime/replay_cleanup.py,194,close_unanswered_tool_calls,144,194,51
4c6d7b6,app/agent_runtime/resume_context.py,274,active_source_reference_block,29,76,48
4c6d7b6,app/agent_runtime/resume_context.py,274,with_source_availability,79,144,66
4c6d7b6,app/agent_runtime/resume_context.py,274,continuation_prefix,147,274,128
4c6d7b6,app/agent_runtime/session.py,2158,_task_input_messages,111,162,52
4c6d7b6,app/agent_runtime/session.py,2158,_exclusive_file_lock,166,193,28
4c6d7b6,app/agent_runtime/session.py,2158,project_plan,284,315,32
4c6d7b6,app/agent_runtime/session.py,2158,bind_todo_store,333,356,24
4c6d7b6,app/agent_runtime/session.py,2158,_latest_consumed_steer,381,425,45
4c6d7b6,app/agent_runtime/session.py,2158,EventSession.__init__,441,465,25
4c6d7b6,app/agent_runtime/session.py,2158,EventSession.append,518,582,65
4c6d7b6,app/agent_runtime/session.py,2158,EventSession._refresh_from_disk,591,620,30
4c6d7b6,app/agent_runtime/session.py,2158,EventSession._adopt_incremental,622,665,44
4c6d7b6,app/agent_runtime/session.py,2158,EventSession._validate_append_transition,687,888,202
4c6d7b6,app/agent_runtime/session.py,2158,EventSession._validate_artifact_event,890,932,43
4c6d7b6,app/agent_runtime/session.py,2158,EventSession._validate_artifact_payload,935,955,21
4c6d7b6,app/agent_runtime/session.py,2158,EventSession._validate_artifact_applied,966,999,34
4c6d7b6,app/agent_runtime/session.py,2158,EventSession.replace_messages_if_unchanged,1066,1085,20
4c6d7b6,app/agent_runtime/session.py,2158,EventSession.freeze_system_prompt,1087,1157,71
4c6d7b6,app/agent_runtime/session.py,2158,EventSession.record_model_request,1159,1190,32
4c6d7b6,app/agent_runtime/session.py,2158,EventSession.record_interaction_start,1192,1223,32
4c6d7b6,app/agent_runtime/session.py,2158,EventSession.record_tool_call,1225,1250,26
4c6d7b6,app/agent_runtime/session.py,2158,EventSession.record_tool_settlement,1252,1284,33
4c6d7b6,app/agent_runtime/session.py,2158,EventSession.enqueue_inbox,1318,1337,20
